address,latitude,longitude,name,desc,color
123 main st richmond va,39.78373,-100.445882,123 main st richmond va,US,
Hubei,31,112,Hubei,"Hubei, CN",
Guangdong,23.135769,113.198269,Guangdong,"Guangdong, CN",
Henan,34,114,Henan,"Henan, CN",
Zhejiang,29,120,Zhejiang,"Zhejiang, CN",
Hunan,27.999588,112.009538,Hunan,"Hunan, CN",
Anhui,32,117,Anhui,"Anhui, CN",
Jiangxi,28,116,Jiangxi,"Jiangxi, CN",
Jiangsu,33,120,Jiangsu,"Jiangsu, CN",
Chongqing,29.558571,106.549282,Chongqing,"Chongqing, Central Chongqing, Chongqing, CN",
Shandong,36,119,Shandong,"Shandong, CN",
Sichuan,30.5,102.5,Sichuan,"Sichuan, CN",
Heilongjiang,48.000005,127.999992,Heilongjiang,"Heilongjiang, CN",
Beijing,39.905963,116.391248,Beijing,"Dongcheng District, Beijing, CN",
Shanghai,31.225344,121.488892,Shanghai,"Shanghai, Huangpu District, Shanghai, CN",
Fujian,26.545,117.842778,Fujian,"Fujian, CN",
Guangxi,24,109,Guangxi,"Guangxi, CN",
Shaanxi,36,109,Shaanxi,"Shaanxi, CN",
Hebei,39,116,Hebei,"Hebei, CN",
Yunnan,25,102,Yunnan,"Yunnan, CN",
Hainan,19.2,109.6,Hainan,"Hainan, CN",
Guizhou,27,107,Guizhou,"Guizhou, CN",
Shanxi,37,112,Shanxi,"Shanxi, CN",
Tianjin,39.123564,117.198079,Tianjin,"Tianjin, Heping District, Tianjin, CN",
Liaoning,40.99752,122.995547,Liaoning,"Liaoning, CN",
Gansu,38,102,Gansu,"Gansu, CN",
Jilin,42.999503,125.981605,Jilin,"Jilin, CN",
Ningxia,37,106,Ningxia,"Ningxia Hui, CN",
Xinjiang,41.5,85.5,Xinjiang,"Xinjiang, CN",
Inner Mongolia,43.244324,114.325166,Inner Mongolia,"Inner Mongolia, CN",
Hong Kong SAR,39.78373,-100.445882,Hong Kong SAR,US,
Qinghai,36,96,Qinghai,"Qinghai, CN",
Taipei,25.03752,121.56368,Taipei,"Taipei, Taipei, TW",
Macao SAR,40.725674,8.557282,Macao SAR,"Via e Largo Macao, Sassari, SS, Sardinia, IT",
Xizang,33.873776,103.951606,Xizang,"Xizang, Zhugqu County, Gansu, CN",
Singapore,1.290475,103.852036,Singapore,"Singapore, Central, SG",
Japan,36.574844,139.239418,Japan,JP,
Republic of Korea,36.558191,127.940856,Republic of Korea,KR,
Malaysia,2.392376,112.847194,Malaysia,MY,
Viet Nam,13.290403,108.426511,Viet Nam,VN,
Australia,-24.776109,134.755,Australia,AU,
Philippines,12.750349,122.73121,Philippines,PH,
Cambodia,13.506639,104.869423,Cambodia,KH,
Thailand,14.897192,100.83273,Thailand,TH,
India,22.351115,78.667743,India,IN,
Nepal,28.108393,84.091714,Nepal,NP,
Sri Lanka,7.878,80.703825,Sri Lanka,LK,
US,39.78373,-100.445882,US,US,
Canada,61.066692,-107.991707,Canada,CA,
Germany,51.08342,10.423447,Germany,DE,
France,46.603354,1.888334,France,"Metropolitan France, FR",
UK,54.702355,-3.276575,UK,GB,
Italy,42.638426,12.674297,Italy,IT,
Russia,64.686314,97.745306,Russia,RU,
Spain,40.002803,-4.003104,Spain,ES,
Belgium,50.640735,4.66696,Belgium,BE,
Finland,63.246778,25.920916,Finland,FI,
Sweden,59.674971,14.520858,Sweden,SE,
UAE,49.487197,31.271832,UAE,UA,
Egypt,26.254049,29.267547,Egypt,EG,
Intl,40.268917,72.662947,Intl,"International, Osh Region, KG",